Electorate,StateAb,DivisionID,DivisionNm,Winner,RunnerUp,WinnerShare,RunnerUpShare,Margin
QLD.11,QLD,311,Flynn,LP,ALP,0.6024214961606676,0.3975785038393324,0.20484299232133524
QLD.12,QLD,162,Forde,ALP,LP,0.5176512164273491,0.4823487835726508,0.03530243285469831
QLD.13,QLD,163,Griffith,ALP,GRN,0.6057392960480533,0.3942607039519467,0.21147859209610664
QLD.14,QLD,164,Groom,LP,IND,0.5567482730892568,0.44325172691074316,0.11349654617851362
QLD.15,QLD,165,Herbert,LP,ALP,0.6341270002643297,0.3658729997356703,0.2682540005286594
QLD.16,QLD,166,Hinkler,LP,ALP,0.5626222913047454,0.43737770869525466,0.12524458260949073
QLD.17,QLD,167,Kennedy,Others,LP,0.6575410139766575,0.34245898602334246,0.3150820279533151
QLD.18,QLD,168,Leichhardt,ALP,LP,0.5606160033869602,0.4393839966130398,0.12123200677392038
QLD.19,QLD,169,Lilley,ALP,LP,0.645201062215478,0.354798937784522,0.29040212443095603
QLD.20,QLD,302,Longman,LP,ALP,0.5011031009849994,0.4988968990150005,0.0022062019699989333
QLD.21,QLD,170,Maranoa,Others,LP,0.2990264825411774,0.7009735174588225,-0.4019470349176451
QLD.22,QLD,171,McPherson,LP,ALP,0.5443604382039808,0.4556395617960191,0.08872087640796172
QLD.23,QLD,172,Moncrieff,LP,ALP,0.5879931423559197,0.4120068576440803,0.1759862847118394
QLD.24,QLD,173,Moreton,ALP,LP,0.6609116390105615,0.33908836098943845,0.32182327802112304
QLD.25,QLD,174,Oxley,ALP,LP,0.6919240452806981,0.30807595471930194,0.3838480905613961
QLD.26,QLD,175,Petrie,ALP,LP,0.5116874443455031,0.4883125556544969,0.02337488869100618
QLD.27,QLD,176,Rankin,LP,ALP,0.34446759537029964,0.6555324046297003,-0.31106480925940067
QLD.28,QLD,177,Ryan,GRN,LP,0.5326786646304924,0.46732133536950765,0.06535732926098475
QLD.29,QLD,178,Wide Bay,LP,ALP,0.5763102286356108,0.4236897713643892,0.1526204572712216
QLD.30,QLD,316,Wright,LP,ALP,0.5797741273100616,0.4202258726899384,0.15954825462012323
SA.1,SA,179,Adelaide,ALP,LP,0.6906537878323064,0.30934621216769365,0.3813075756646127
SA.2,SA,180,Barker,LP,ALP,0.629771694537962,0.370228305462038,0.259543389075924
SA.3,SA,182,Boothby,ALP,LP,0.6110329898840113,0.3889670101159887,0.22206597976802261
SA.4,SA,183,Grey,LP,ALP,0.5464207857336664,0.4535792142663336,0.0928415714673328
SA.5,SA,185,Hindmarsh,ALP,LP,0.6634865876537063,0.3365134123462937,0.32697317530741254
SA.6,SA,186,Kingston,ALP,LP,0.7074049425440347,0.2925950574559652,0.41480988508806954
SA.7,SA,187,Makin,ALP,LP,0.6465783622866187,0.3534216377133813,0.2931567245732374
SA.8,SA,188,Mayo,Others,ALP,0.6489031969452477,0.35109680305475227,0.2978063938904954
SA.9,SA,325,Spence,ALP,LP,0.6533580685056729,0.34664193149432704,0.30671613701134587
SA.10,SA,190,Sturt,ALP,LP,0.5662258722692232,0.4337741277307768,0.13245174453844638
TAS.1,TAS,192,Bass,ALP,LP,0.5801044780288851,0.4198955219711149,0.1602089560577702
TAS.2,TAS,193,Braddon,ALP,LP,0.5720069481560662,0.4279930518439337,0.14401389631213252
TAS.3,TAS,319,Clark,IND,ALP,0.7038397180554116,0.29616028194458843,0.40767943611082313
TAS.4,TAS,195,Franklin,ALP,IND,0.5777902749077973,0.42220972509220267,0.15558054981559466
TAS.5,TAS,196,Lyons,ALP,LP,0.6158371511870054,0.38416284881299456,0.23167430237401088
